Id miasta,Liczba_mieszkancow,Liczba_kobiet,Grupa_wiekowa,"Data_aktualizacji
2013.31.12
2013.31.12
2013.31.12
2013.31.12
2013.31.12
2013.31.12
2013.31.12
2013.31.12
2013.31.12
2013.31.12
2013.31.12
2013.31.12
2013.31.12
2013.31.12
2013.31.12
2013.31.12
2013.31.12
2013.31.12
2013.31.12
2013.31.12
2013.31.12
2013.31.12
2013.31.12
2013.31.12
2013.31.12
2013.31.12
2013.31.12
2013.31.12
2013.31.12
2013.31.12
2012.31.12
2012.31.12
2012.31.12
2012.31.12
2012.31.12
2012.31.12
2012.31.12
2012.31.12
2012.31.12
2012.31.12
2012.31.12
2012.31.12
2012.31.12
2012.31.12
2012.31.12
2012.31.12
2012.31.12
2012.31.12
2012.31.12
2012.31.12
2012.31.12
2012.31.12
2012.31.12
2011.31.12
2011.31.12
2011.31.12
2011.31.12
2011.31.12
2011.31.12
2011.31.12
2011.31.12
2011.31.12
2011.31.12
2011.31.12
2011.31.12
2011.31.12
2011.31.12
2011.31.12
2011.31.12
2011.31.12
2011.31.12
2011.31.12
2011.31.12
2012-12-31
2012-12-31
2012-12-31
2012-12-31
2012-12-31
2012-12-31
2012-12-31
2012-12-31
2012-12-31
2012-12-31
2012-12-31
2012-12-31
2007-12-31
2007-12-31
2007-12-31
2007-12-31
2007-12-31
2007-12-31
2007-12-31
2007-12-31
2007-12-31
2007-12-31
2007-12-31
2007-12-31
2007-12-31
2007-12-31
2007-12-31
2007-12-31
2007-12-31
2007-12-31
2007-12-31
2007-12-31
"
1,"1724,4","933,2",ogółem,
2,96,"46,5", 0-4 lata,
3,"82,6","40,4",5-9 lata,
4,"61,7","30,3",10-14 lata,
5,"61,6","30,3",15-19 lata,
6,"85,7","43,3",20-24 lata,
7,"138,5",73,25-29 lata,
8,166,"87,7",30-34 lata,
9,"156,5","82,1",35-39 lata,
10,"114,4","58,8",40-44 lata,
11,"88,7","45,9",45-49 lata,
12,"98,2","52,6",50-54 lata,
13,"133,1","73,5",55-59 lata,
14,"125,9","71,1",60-64 lata,
15,"91,6","53,8",65-69 lata,
16,"64,1","39,3",70-74 lata,
17,"64,7","41,6",75-79 lata,
18,95,63,80 lat i więcej,
19,"711,3","387,6",ogółem,
20,"17,8","8,7",0-2 lata,
21,"25,2","12,3",3-6 lat,
22,"31,3","15,1",7-12 lat,
23,"15,1","7,4",13-15 lat,
24,"17,3","8,4",16-18 lat,
25,"44,7","22,3",19-24 lat,
26,"111,3","56,1",25-34 lat,
27,"101,2","51,3",35-44 lat,
28,"85,8","46,1",45-54 lat,
29,"124,3","70,6",55-64 lat,
30,"137,5","89,5",65 lat i więcej,
31,758334,405051,ogółem,
32,23201,11053,0-2 lata,
33,29265,14303,3-6 lat,
34,34750,16765,7-12 lat,
35,17202,8511,13-15 lata,
36,19550,9645,16-18 lata,
37,61436,31234,19-24 lata,
38,70129,36425,25-29 lata,
39,69171,35472,30-34 lata,
40,61272,31337,35-39 lata,
41,47436,24275,40-44 lata,
42,42322,21892,45-49 lata,
43,47864,25698,50-54 lata,
44,56943,31440,55-59 lata,
45,51666,29210,60-64 lata,
46,38476,22034,65-69 lata,
47,27876,16573,70-74 lata,
48,25983,16228,78-79 lata,
49,20101,13173,80 -84 lata,
50,9976,6988,85-89 lata,
51,3060,2266,90-94 lata,
52,522,418,95-99 lata,
53,133,111,100 lat i więcej ,
54,631235,336666,ogółem,
55,19794,9634,0-2 lata,
56,22832,11258,3-6 lat,
57,35024,17092,7-14 lat,
58,14990,7316,15-17 lat,
59,11224,5519,18-19 lat,
60,46029,23601,20-24 lat,
61,60924,31135,25-29 lat,
62,58367,29540,30-34 lat,
63,48765,24625,35-39 lat,
64,35308,17684,40-44 lat,
65,33902,17550,45-49 lat,
66,43660,23247,50-54 lat,
67,52356,28628,55-59 lat,
68,46968,26170,60-64 lat,
69,25574,14735,65-69 lat,
70,23792,14574,70-74 lat,
71,22486,14303,75-79 lat,
72,17380,11563,80-84 lat,
73,11860,8492,85 lat i więcej,
74,550742,256499,ogółem,
75,17451,8977,0-2 lata,
76,21530,11088,3-6 lat,
77,24743,12727,7-12 lat,
78,12119,6155,13-15 lat,
79,13500,6849,16-18 lat,
80,42888,21048,19-24 lat,
81,103599,50680,25-34 lat,
82,76899,37877,35-44 lat,
83,63288,30054,45-54 lat,
84,84589,37271,55-64 lat,
85,90136,33773,65 lat i więcej,
86,456658,216374,ogółem,
87,12540,6481,0-2 lata,
88,14849,7603,3-6 lat,
89,33025,16808,7-14 lat,
90,15505,8014,15-17 lat,
91,11548,5818,18-19 lat,
92,37690,18680,20-24 lat,
93,40731,19917,25-29 lat,
94,38529,19406,30-34 lat,
95,29458,14892,35-39 lat,
96,26148,13091,40-44 lat,
97,31662,15129,45-49 lat,
98,38491,17656,50-54 lat,
99,36753,16976,55-59 lat,
100,21584,9685,60-64 lat,
101,20151,8722,65-69 lat,
102,18431,7686,70-74 lat,
103,14542,5453,75-79 lat,
104,15021,4357,80-84 lat,
